20260209  ;GA132A3                       ;T310010011     ;APF294400 ;CM66F;V154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260112  ;GA160VSDA3                    ;T310085002     ;APF296058 ;CN65F;K155;40;999      ;T;KENNETH.VAN.LAEKEN            ;
20260330  ;ZH1400+"                      ;T310279007     ;APF294618 ;CP10F;V201;30;0        ;6;SOFIE.MAMPAEY                 ;
20260109  ;ZR160VSD+                     ;T310292027     ;APF295247 ;CP50F;K147;35;899      ;2;SIGRID.VAN.REETH              ;
20260226  ;ZR400                         ;T310298006     ;APF295833 ;CP58F;K262;30;0        ;4;SOFIE.MAMPAEY                 ;
20260224  ;ZR315                         ;T310305006     ;APF295989 ;CP66F;K262;30;0        ;4;SOFIE.MAMPAEY                 ;
20260126  ;GA160A3                       ;T310317002     ;APF296447 ;CQ07F;K154;35;475      ;T;KENNETH.VAN.LAEKEN            ;
20260126  ;GA110A3                       ;T310325003     ;APF296206 ;CQ21F;K155;35;390      ;T;KENNETH.VAN.LAEKEN            ;
20260109  ;GA160VSDA3                    ;T310329003     ;APF296038 ;CQ26F;K154;40;999      ;T;KENNETH.VAN.LAEKEN            ;
20260127  ;GA132A3                       ;T310329004     ;APF296482 ;CQ28F;K154;35;0        ;T;KENNETH.VAN.LAEKEN            ;
20260114  ;ZT110 STD                     ;T310342016     ;APF294509 ;CQ44F;V171;35;799      ;3;SIGRID.VAN.REETH              ;
20260126  ;GA160A3                       ;T310344008     ;APF296448 ;CQ47F;V154;35;799      ;T;KENNETH.VAN.LAEKEN            ;
20260121  ;GA160A3                       ;T310344009     ;APF296395 ;CQ48F;V154;40;999      ;T;KENNETH.VAN.LAEKEN            ;
20260109  ;GA132A3                       ;T310365018     ;APF296338 ;CQ73F;K154;40;999      ;T;KENNETH.VAN.LAEKEN            ;
20260309  ;ZR355VSD+                     ;T310479017     ;APF296914 ;CR54F;V247;30;0        ;3;SIGRID.VAN.REETH              ;
20260202  ;GA160VSDA3                    ;T310725003     ;APF296286 ;CS75F;K154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260202  ;GA160VSDA3                    ;T310725004     ;APF296287 ;CS76F;K154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260127  ;GA200VSDA3                    ;T310900003     ;APF295982 ;CT99F;K005;30;0        ;1;KENNETH.VAN.LAEKEN            ;
20260128  ;ZS5VSD                        ;T310917013     ;APF294622 ;CU21F;K360;30;0        ;=;SOFIE.MAMPAEY                 ;
20260205  ;ZS5VSD                        ;T310917014     ;APF294623 ;CU22F;K360;30;0        ;=;SOFIE.MAMPAEY                 ;
20260130  ;ZS5VSD                        ;T310917015     ;APF294624 ;CU23F;K360;30;0        ;=;SOFIE.MAMPAEY                 ;
20260209  ;ZS5VSD                        ;T310917016     ;APF294625 ;CU24F;K360;30;0        ;=;SOFIE.MAMPAEY                 ;
20260216  ;GA160VSDA3                    ;T310977003     ;APF296308 ;CU60F;K155;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260127  ;ZS5VSD                        ;T311039019     ;APF294620 ;CV45F;V360;30;0        ;=;SOFIE.MAMPAEY                 ;
20260126  ;ZS5VSD                        ;T311039020     ;APF294619 ;CV46F;V360;30;0        ;=;SOFIE.MAMPAEY                 ;
20260127  ;ZS5VSD                        ;T311039021     ;APF294621 ;CV47F;V360;30;0        ;=;SOFIE.MAMPAEY                 ;
20260225  ;ZR400VSD                      ;T311086004     ;APF296653 ;CW15F;K261;30;0        ;4;SOFIE.MAMPAEY                 ;
20260123  ;GA160A3                       ;T311220003     ;APF296658 ;CX55F;K154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260123  ;GA160A3                       ;T311220004     ;APF296628 ;CX56F;K154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260203  ;GA200VSDA3                    ;T311345020     ;APF295266 ;CY52F;K005;30;0        ;1;KENNETH.VAN.LAEKEN            ;
20260113  ;ZT75VSD+                      ;T311448004     ;APF294772 ;CZ38F;K147;35;195      ;2;SIGRID.VAN.REETH              ;
20260109  ;ZT75VSD+                      ;T311452011     ;APF294773 ;CZ54F;K147;35;799      ;2;SIGRID.VAN.REETH              ;
20260108  ;ZT75VSD+                      ;T311452012     ;APF294774 ;CZ55F;K147;35;155      ;2;SIGRID.VAN.REETH              ;
20260212  ;ZR450                         ;T311458004     ;APF295577 ;CZ65F;K261;30;0        ;4;SOFIE.MAMPAEY                 ;
20260331  ;ZH560'                        ;T311531007     ;APF295545 ;DA62F;V351;30;0        ;6;SOFIE.MAMPAEY                 ;
20260417  ;ZH800'                        ;T311531008     ;APF295811 ;DA63F;V351;30;0        ;6;SOFIE.MAMPAEY                 ;
20260114  ;ZT200                         ;T311789004     ;APF295381 ;DC76F;K258;35;799      ;3;SIGRID.VAN.REETH              ;
20260209  ;GA250VSDA3                    ;T311846003     ;APF296681 ;DD62F;V003;30;0        ;1;KENNETH.VAN.LAEKEN            ;
20260130  ;GA160VSDA3                    ;T311852004     ;APF296364 ;DD55F;K154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260109  ;ZR90 STD                      ;T312026007     ;APF295768 ;DE64F;V151;35;799      ;2;SIGRID.VAN.REETH              ;
20260211  ;ZT250VSD+                     ;T312124013     ;APF296915 ;DG95F;K243;30;0        ;3;SIGRID.VAN.REETH              ;
20260128  ;ZR355VSD+                     ;T312200034     ;APF296596 ;DI09F;K247;30;0        ;3;SIGRID.VAN.REETH              ;
20260128  ;IMDG1050A1                    ;T312200035     ;APF294994 ;DI10F;K855;30;0        ;M;KIRSTEN.BAUWENS               ;
20260123  ;ZR900VSD                      ;T312429021     ;APF295340 ;DV01F;K217;35;899      ;4;SOFIE.MAMPAEY                 ;
20260123  ;ZR900VSD                      ;T312429022     ;APF295339 ;DV00F;K217;35;799      ;4;SOFIE.MAMPAEY                 ;
20260205  ;GA160A3                       ;T312460008     ;APF296729 ;DL49F;K154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260206  ;GA160A3                       ;T312460009     ;APF296760 ;DL50F;K154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260211  ;GA160A3                       ;T312460010     ;APF296842 ;DL51F;K154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260206  ;GR200                         ;T312462019     ;APF296249 ;DL65F;K106;30;0        ;1;KENNETH.VAN.LAEKEN            ;
20260217  ;ZT315VSD+                     ;T312504011     ;APF296875 ;DL94F;K244;30;0        ;3;SIGRID.VAN.REETH              ;
20260312  ;GA160A3                       ;T312536007     ;APF295137 ;DM93F;K154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260309  ;ZR355                         ;T312537005     ;APF296550 ;DM94F;K262;30;0        ;4;SOFIE.MAMPAEY                 ;
20260223  ;GR200                         ;T312541003     ;APF295144 ;DN05F;K106;30;0        ;1;KENNETH.VAN.LAEKEN            ;
20260317  ;GA132A3                       ;T312563010     ;APF295139 ;DN24F;V154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260317  ;GA132A3                       ;T312563011     ;APF295201 ;DN25F;V154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260317  ;GA132A3                       ;T312563012     ;APF295244 ;DN26F;V154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260120  ;ZT75VSD STD                   ;T312643004     ;APF295738 ;DN40F;V153;30;0        ;2;SIGRID.VAN.REETH              ;
20260211  ;GA132A3                       ;T312660003     ;APF296856 ;DN80F;K154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260205  ;GA160VSDA3                    ;T312727017     ;APF296398 ;DO39F;K154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260220  ;GA160VSDA3                    ;T312733003     ;APF296700 ;DO44F;K154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260311  ;ZR500                         ;T312752004     ;APF295803 ;DO65F;K261;30;0        ;4;SOFIE.MAMPAEY                 ;
20260116  ;ZS4VSD                        ;T312816002     ;APF296227 ;DP08F;V361;30;0        ;*;SOFIE.MAMPAEY                 ;
20260212  ;GA160VSDA3                    ;T312896004     ;APF296516 ;DP31F;K155;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260317  ;GA160A3                       ;T312898003     ;APF295202 ;DP32F;K154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260205  ;GA315VSDA3                    ;T312899002     ;APF296479 ;DP33F;K004;30;0        ;1;KENNETH.VAN.LAEKEN            ;
20260114  ;ZT55 STD                      ;T312904003     ;APF295510 ;DP41F;K153;30;0        ;2;SIGRID.VAN.REETH              ;
20260114  ;ZR110VSD+                     ;T312909003     ;APF296664 ;DQ51F;K145;35;195      ;2;SIGRID.VAN.REETH              ;
20260213  ;GA110VSDA3                    ;T312922005     ;APF296632 ;DP81F;K154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260206  ;GA160VSDA3                    ;T312993015     ;APF296553 ;DR43F;V154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260206  ;GA160A3                       ;T312993016     ;APF296843 ;DR44F;V154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260206  ;GA160A3                       ;T312993017     ;APF296730 ;DR45F;V154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260206  ;GA160A3                       ;T312993018     ;APF296844 ;DR46F;V154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260206  ;GA160A3                       ;T312993019     ;APF296845 ;DR47F;V154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260121  ;ZT75 STD                      ;T313001009     ;APF295741 ;DS16F;V153;30;0        ;2;SIGRID.VAN.REETH              ;
20260122  ;ZT75VSD STD                   ;T313001010     ;APF295789 ;DS17F;V153;30;0        ;2;SIGRID.VAN.REETH              ;
20260217  ;GA160VSDA3                    ;T313118006     ;APF296701 ;DW49F;K154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260217  ;GA160A3                       ;T313118007     ;APF296899 ;DW50F;K154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260306  ;ZR500VSD                      ;T313219019     ;APF296887 ;DW58F;V261;30;0        ;4;SOFIE.MAMPAEY                 ;
20260210  ;GA110VSDA3                    ;T313410005     ;APF296483 ;DZ15F;K154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260217  ;GA110VSDA3                    ;T313410006     ;APF296688 ;DZ16F;K154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260227  ;GA315VSDA3                    ;T313627002     ;APF296841 ;EA92F;K004;30;0        ;1;KENNETH.VAN.LAEKEN            ;
20260223  ;GA160VSDA3                    ;T313634003     ;APF296796 ;EB00F;K155;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260217  ;GA160VSDA3                    ;T313723003     ;APF296578 ;EC29F;K155;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260225  ;GA160VSDA3                    ;T313723004     ;APF296580 ;EC30F;K155;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260204  ;ZS5VSD                        ;T313885002     ;APF296372 ;ED21F;K360;30;0        ;=;SOFIE.MAMPAEY                 ;
20260413  ;ZA4                           ;T314077004     ;APF295823 ;EE67F;K207;30;0        ;H;SIGRID.VAN.REETH              ;
20260219  ;ZS5VSD                        ;T314146007     ;APF296523 ;EG03F;K360;30;0        ;=;SOFIE.MAMPAEY                 ;
20260219  ;ZS5VSD                        ;T314146008     ;APF296549 ;EG05F;K360;30;0        ;=;SOFIE.MAMPAEY                 ;
20260219  ;ZS5VSD                        ;T314146009     ;APF296620 ;EG07F;K360;30;0        ;=;SOFIE.MAMPAEY                 ;
20260116  ;ZT275                         ;T314392004     ;APF295822 ;EI62F;V258;30;0        ;3;SIGRID.VAN.REETH              ;
20260325  ;ZB 6 VSD+                     ;T314420006     ;APF296815 ;EI79F;K326;30;0        ;C;KIRSTEN.BAUWENS               ;
20260302  ;GA160VSDA3                    ;T314446003     ;APF296584 ;EJ15F;K155;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260129  ;ZT90VSD STD                   ;T314455007     ;APF295905 ;EJ70F;V152;30;0        ;2;SIGRID.VAN.REETH              ;
20260302  ;GA160VSDA3                    ;T314462009     ;APF296895 ;EK07F;K154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
